author_id,post_id,post_parent_id,discussion_topic_title,discussion_topic_message,post_message,count_of_likes,timestamp
,348880,,"What do you mean?","<p><iframe src='https://www.youtube.com/embed/DK_0jXPuIr0' width='560' height='315' allowfullscreen='allowfullscreen' allow='accelerometer; autoplay; encrypted-media; gyroscope; picture-in-picture'></iframe></p>",,,2019-09-30T18:56:14Z
,348879,,"Hackathon Feedback","No message",,,2019-09-30T18:56:14Z
,348878,,"Learning Analytics Conference at UBC","<p>If you're interested in learning analytics - there's a conference at UBC in June: <a href='https://solaresearch.org/events/lasi/lasi19/'>https://solaresearch.org/events/lasi/lasi19/</a></p>
<p>Students get their membership for free (UBC is an institutional member) and can apply for scholarships for registration. Scholarships apply only to PhD students.</p>",,,2019-09-30T18:56:14Z
,348877,,"What do you choose? ","<p>Ketchup or mustard? You must pick one. Defend your choice! </p>
<p>If you disagree with one of your peers, respond. </p>
<p>(P.s. general - be a reasonable human applies here, be respectful, this is for fun)</p>",,,2019-09-30T18:56:13Z
53016,1091409,348877,"What do you choose? ","<p>Ketchup or mustard? You must pick one. Defend your choice! </p>
<p>If you disagree with one of your peers, respond. </p>
<p>(P.s. general - be a reasonable human applies here, be respectful, this is for fun)</p>","<p>Ketchup because mustard is too spicy for me </p>",,2019-10-21T23:09:15Z
,348876,,"Favourite Eating Spots Near Campus?","<p>What are your top 3 food spots on/near campus?</p>",,,2019-09-30T18:56:13Z
,348875,,"Who likes potatoes on pizza?","No message",,,2019-09-30T18:56:13Z
,348874,,"What video games are you playing right now?","<p>I'm playing Sekiro.</p>",,,2019-09-30T18:56:13Z
53016,1061544,348874,"What video games are you playing right now?","<p>I'm playing Sekiro.</p>","<p>CSGO and Overwatch!</p>",,2019-10-11T06:50:34Z
366779,1115370,348874,"What video games are you playing right now?","<p>I'm playing Sekiro.</p>","<p>Daemonica X Machina</p>",,2019-10-29T22:31:55Z
,348873,,"What is your favourite place on campus?","No message",,,2019-09-30T18:56:13Z
,348872,,"Testing topic","No message",,,2019-09-30T18:56:13Z
,348871,,"Test Post","<p>...</p>",,,2019-09-30T18:56:13Z
